Feature 1: Practice Form,,,,,,,
Req ID,Requirement Description,Test Case (TC ID),Steps,Expected Result,Priority,Status,
F1-REQ1,Valid form submission,TC-F1-001,Fill all fields ? Submit.,Confirmation dialog appears.,High,PASS,
F1-REQ2,Gender field validation,TC-F1-002,Omit Gender ? Submit.,"Error: ""Gender is required"".",High,PASS,
F1-REQ3,Email format validation,TC-F1-003,"Enter ""abc.com"" ? Submit.","Error: ""Please enter a valid email"".",High,PASS,
F1-REQ4,File upload validation,TC-F1-004,Upload .exe ? Submit.,"Error: ""File format not supported"".",Medium,PASS,
F1-REQ5,Mobile number required,TC-F1-005,Leave Mobile empty ? Submit.,"Error: ""Mobile Number is required"".",High,PASS,
F1-REQ6,Date of Birth future-date block,TC-F1-006,Attempt future date selection.,Future dates disabled.,High,FAIL,
Feature 2: Web Tables,,,,,,,
Req ID,Requirement Description,Test Case (TC ID),Steps,Expected Result,Priority,Status,
F2-REQ1,Add valid user,TC-F2-001,Fill fields ? Submit.,New row appears.,High,PASS,
F2-REQ2,Edit user details,TC-F2-002,Update Last Name ? Submit.,Row reflects changes.,High,PASS,
F2-REQ3,Delete user,TC-F2-003,"Click ""Delete"".",Row removed; table count updates.,High,PASS,
F2-REQ4,Search by email,TC-F2-004,Enter email in search box.,Only matching row displayed.,Medium,PASS,
F2-REQ5,Pagination handling,TC-F2-005,"Add 11 users ? Click ""Next"".","""Page 1 of 2"" displayed.",Medium,PASS,
F2-REQ6,Age field numeric validation,TC-F2-006,"Enter ""abc"" in Age ? Submit.","Error: ""Age must be a number"".",High,PASS,
Feature 3: Alerts,,,,,,,
Req ID,Requirement Description,Test Case (TC ID),Steps,Expected Result,Priority,Status,
F3-REQ1,Simple alert handling,TC-F3-001,Click button ? Accept alert.,No errors.,Medium,PASS,
F3-REQ2,Confirmation alert dismissal,TC-F3-002,Click button ? Cancel.,"Message: ""You selected Cancel"".",Medium,PASS,
F3-REQ3,Prompt alert with input,TC-F3-003,"Enter ""Ashish"" ? Accept.","Message: ""You entered Ashish"".",High,PASS,
F3-REQ4,Prompt alert (empty input),TC-F3-004,Dismiss without input.,"Message: ""You entered null"".",High,PASS,
